,GOOG,MSFT
2015-08-31,,
2015-09-01,,
2015-09-02,,
2015-09-03,,
2015-09-04,,
2015-09-08,,
2015-09-09,,
2015-09-10,,
2015-09-11,,
2015-09-14,,
2015-09-15,,
2015-09-16,,
2015-09-17,,
2015-09-18,,
2015-09-21,,
2015-09-22,,
2015-09-23,,
2015-09-24,,
2015-09-25,,
2015-09-28,,
2015-09-29,,
2015-09-30,,
2015-10-01,,
2015-10-02,,
2015-10-05,,
2015-10-06,,
2015-10-07,,
2015-10-08,,
2015-10-09,,
2015-10-12,,
2015-10-13,,
2015-10-14,,
2015-10-15,,
2015-10-16,,
2015-10-19,,
2015-10-20,,
2015-10-21,,
2015-10-22,,
2015-10-23,,
2015-10-26,,
2015-10-27,,
2015-10-28,,
2015-10-29,,
2015-10-30,,
2015-11-02,,
2015-11-03,,
2015-11-04,,
2015-11-05,,
2015-11-06,,
2015-11-09,,
2015-11-10,,
2015-11-11,,
2015-11-12,,
2015-11-13,,
2015-11-16,,
2015-11-17,,
2015-11-18,,
2015-11-19,,
2015-11-20,,
2015-11-23,,
2015-11-24,,
2015-11-25,,
2015-11-27,,
2015-11-30,,
2015-12-01,,
2015-12-02,,
2015-12-03,,
2015-12-04,,
2015-12-07,,
2015-12-08,,
2015-12-09,,
2015-12-10,,
2015-12-11,,
2015-12-14,,
2015-12-15,,
2015-12-16,,
2015-12-17,,
2015-12-18,,
2015-12-21,,
2015-12-22,,
2015-12-23,,
2015-12-24,,
2015-12-28,,
2015-12-29,,
2015-12-30,,
2015-12-31,,
2016-01-04,,
2016-01-05,,
2016-01-06,,
2016-01-07,,
2016-01-08,,
2016-01-11,,
2016-01-12,,
2016-01-13,,
2016-01-14,,
2016-01-15,,
2016-01-19,,
2016-01-20,,
2016-01-21,,
2016-01-22,,
2016-01-25,,
2016-01-26,,
2016-01-27,,
2016-01-28,,
2016-01-29,,
2016-02-01,,
2016-02-02,,
2016-02-03,,
2016-02-04,,
2016-02-05,,
2016-02-08,,
2016-02-09,,
2016-02-10,,
2016-02-11,,
2016-02-12,,
2016-02-16,,
2016-02-17,,
2016-02-18,,
2016-02-19,,
2016-02-22,,
2016-02-23,,
2016-02-24,,
2016-02-25,,
2016-02-26,,
2016-02-29,,
2016-03-01,,
2016-03-02,,
2016-03-03,,
2016-03-04,,
2016-03-07,,
2016-03-08,,
2016-03-09,,
2016-03-10,,
2016-03-11,,
2016-03-14,,
2016-03-15,1.8600446463185003,2.109458065271849
2016-03-16,1.8088835282638982,2.0768332002568943
2016-03-17,1.7717279877261867,2.0768332002568948
2016-03-18,1.7717279877261864,2.240536548547614
2016-03-21,1.7717279877261864,2.240536548547614
2016-03-22,1.7084140263156766,2.0768332002568943
2016-03-23,1.5644877420445993,1.9143989330552864
2016-03-24,1.4448294386684717,1.8696686224666879
2016-03-28,1.397826636751629,1.842892748597176
2016-03-29,1.397826636751629,1.8428927485971758
2016-03-30,1.3631549614011038,1.8175104176408567
2016-03-31,1.3631549614011038,1.8175104176408563
2016-04-01,1.3631549614011038,1.8175104176408567
2016-04-04,1.3631549614011038,1.8175104176408567
2016-04-05,1.3389022254446634,1.7992906788432939
2016-04-06,1.3389022254446634,1.7945666005043295
2016-04-07,1.3389022254446634,1.6895843683167517
2016-04-08,1.3348334670794415,1.6750870723507485
2016-04-11,1.3134665864590098,1.6750870723507485
2016-04-12,1.3134665864590098,1.675087072350749
2016-04-13,1.3348334670794415,1.664573317008798
2016-04-14,1.3134665864590098,1.5523393724847747
2016-04-15,1.3134665864590098,1.50032921373238
2016-04-18,1.3134665864590098,1.50032921373238
2016-04-19,1.3348334670794415,1.5003292137323803
2016-04-20,1.3348334670794415,1.5523393724847745
2016-04-21,1.342678098377445,1.5523393724847738
2016-04-22,1.3686922871178897,1.664573317008798
2016-04-25,1.3686922871178897,1.5523393724847745
2016-04-26,1.3686922871178897,1.5523393724847745
2016-04-27,1.396841123876836,1.6645733170087977
2016-04-28,1.4172540556077005,1.7800693045383271
2016-04-29,1.396841123876836,1.780069304538327
2016-05-02,1.3914754980021922,1.8003867384663206
2016-05-03,1.3914754980021922,1.8003867384663206
2016-05-04,1.3914754980021922,1.7843747657912823
2016-05-05,1.363326661243246,1.7843747657912823
2016-05-06,1.3914754980021922,1.715925850763615
2016-05-09,1.3914754980021922,1.7159258507636148
2016-05-10,1.363326661243246,1.705386885361056
2016-05-11,1.3914754980021922,1.705386885361056
2016-05-12,1.4190564234722531,1.75571705486088
2016-05-13,1.4190564234722531,1.7557170548608805
2016-05-16,1.4363990893041727,1.75571705486088
